⌚	zegarek	godzina|zegarek
🫢	twarz z otwartymi oczami i ręką na ustach	niedowierzanie|niespodzianka|omg|przestrach|przestraszona twarz|szok|twarz z otwartymi oczami i ręką na ustach|zasłonięte usta|zawstydzona twarz|zdumienie
🫣	twarz z podglądającym okiem	chowanie się|gapienie się|nieśmiałość|podglądanie|strach|twarz z podglądającym okiem|ukrywanie się|zaabsorbowana twarz|zawstydzenie
🫤	twarz z ukośnymi ustami	do kitu|frustracja|niepewna twarz|rozczarowana twarz|sceptyczna twarz|twarz z ukośnymi ustami|wątpienie|zmieszanie
🫥	twarz otoczona linią przerywaną	chowanie się|introwertyk|niechęć|niewidzialna twarz|niewidzialność|przygnębiona twarz|smutek|twarz otoczona linią przerywaną|ukryta twarz|znikająca twarz|znikanie
🫦	przygryzanie wargi	całus|dyskomfort|flirt|nerwowość|niepokój|pomadka|przygryzanie wargi|strach|usta|zmartwienie
🫧	bąbelki	bąbelki|mycie|mydło|piana|plusk|pod wodą
🫨	wstrząśnięta twarz	drganie|łał|niespodzianka|omg|oszołomienie|szaleństwo|szok|trzęsienie ziemi|twarz|wibracje|wow|wstrząs|wstrząśnięta twarz
🫩	twarz z workami pod oczami	podkrążone oczy|senność|worki pod oczami|zmęczenie
🫰	dłoń ze skrzyżowanym palcem wskazującym i kciukiem	dłoń ze skrzyżowanym palcem wskazującym i kciukiem|drogie|miłość|pieniądze|pstryknięcie palcami|serce
🫱	dłoń skierowana w prawo	dłoń|dłoń skierowana w prawo|prawa|uścisk dłoni|w prawo|wyciągnięta dłoń
🫲	dłoń skierowana w lewo	dłoń|dłoń skierowana w lewo|lewa|uścisk dłoni|w lewo|wyciągnięta dłoń
🫳	dłoń skierowana w dół	dłoń|dłoń skierowana w dół|odrzucenie|podnoszenie|sio|upuszczenie
🫴	dłoń skierowana w górę	dłoń skierowana w górę|łapanie|nie wiem|powiedz mi|propozycja|przywołanie|skinienie|wyciągnięta ręka
🫵	palec wskazujący skierowany na patrzącego	palec wskazujący skierowany na patrzącego|ty|wskazywanie
🫶	dłonie tworzące serce	<3|dłonie tworzące serce|miłość|serce
🫷	dłoń pchająca w lewo	blokować|czekać|dłoń|dłoń pchająca w lewo|odmawiać|pchać|piątka|stop|w lewo|wstrzymać
🫸	dłoń pchająca w prawo	blokować|czekać|dłoń|dłoń pchająca w prawo|odmawiać|pchać|piątka|stop|w prawo|wstrzymać
