⌚	orologio	orologio|orologio da polso|tempo
🧶	gomitolo	fare a maglia|filo|gomitolo|lavorare a maglia|palla|sferruzzare|uncinetto
🧷	spilla da balia	pannolone|punk rock|spilla da balia|spilla di sicurezza
🧸	orsetto	giocattolo|imbottito|orsacchiotto|orsacchiotto di peluche|orsetto|orsetto di peluche|orso|peluche|soffice|teddy bear
🧹	scopa	pulire|scopa|scopare|spazzare|strega
🧺	cesto	biancheria|bucato|cestino|cesto|orto|picnic
🧻	rotolo di carta igienica	asciugamani di carta|carta assorbente|carta igienica|rotolo|rotolo di carta|rotolo di carta igienica|scottex
🧼	sapone	bagno|fare il bagno|insaponare|lavarsi|pulito|pulizia|sapone|saponetta|schiuma
🧽	spugna	assorbenza|assorbire|bagnare|poroso|pulire|pulizia|spugna|spugna porosa|spugnetta
🧾	scontrino	contabilità|fattura|invoice|prova|ricevuta|ricevuta di pagamento|scontrino|tenuta dei libri
🧿	occhio di Allah	amuleto|amuleto di nazar|blu|malocchio|nazar|occhio di Allah|occhio di nazar|perlina|portafortuna|talismano
🩰	scarpette da ballerina	balletto|danza|danza classica|scarpette da ballerina|scarpette da ballo
🩱	costume da bagno intero	abbigliamento|costume da bagno|costume da bagno intero|costume da donna|costume intero
🩲	slip	costume da bagno maschile|costume da uomo|intimo|mutande da uomo|slip
🩳	pantaloncini	abbigliamento|boxer|costume da bagno maschile|costume da uomo|intimo|mutande da uomo|pantaloncini|shorts
🩴	infradito	abbigliamento|ciabatte|infradito|mare|sandali|scarpe|spiaggia
🩵	cuore azzurro	affetto|amore|azzurro|celeste|cuore|emozione
🩶	cuore grigio	amore|ardesia|argento|cuore|emozione|grigio
🩷	cuore rosa	affetto|amore|cuore|emozione|rosa
🩸	goccia di sangue	ciclo mestruale|donare il sangue|donazione di sangue|goccia di sangue|medicina|medicinale|mestruazioni
🩹	cerotto	cerotto|cerotto adesivo
🩺	stetoscopio	cardiologo|dottore|dottoressa|fonendoscopio|medico|stetoscopio
🩻	radiografia	dottore|lastra|medico|ossa|radiografia|raggi x|scheletro
🩼	stampella	ausilio|bastone|disabile|ferito|infortunio|oggetto|stampella|supporto|zoppicare
🪀	yo-yo	giocattolo|rocchetto|yo-yo|yoyo
🪁	aquilone	aquilone|planare|vento|volare|volo
🪂	paracadute	parà|paracadute|paracadute ascensionale|paracadutismo|paracadutista|parasailing|skydiving|sport
🪃	boomerang	aborigeni|arma|australia|boomerang|oggetto|rimbalzo|ripercussione
🪄	bacchetta magica	abracadabra|bacchetta magica|formula magica|incantesimo|maga|magia|mago|strega|stregone
🪅	pentolaccia	caramelle|divertimento|dolcetti|festa|gioco della pentolaccia|gioco della pignatta|pentolaccia|pignatta
🪆	matrioska	bambola|bambola di legno|bambola russa|matriosca|matrioska|russia
🪇	maracas	agitare|ballare|maracas|musica|percussioni|ritmo|scuotere|strumento
🪈	flauto	fiati|fiato|flautista|flauto|legno|musica|pifferaio|piffero|strumento|zufolo
🪉	arpa	amore|arpa|cupido|musica|orchestra|strumento
🪏	vanga	buco|pala|scavare|spalare|vanga
🪐	pianeta con satellite	corpo celeste|pianeta con anelli|pianeta con satellite|satellite|Saturno|spazio
🪑	sedia	mettersi seduti|mobile|sedersi|sedia|seduti|seggiola
🪒	rasoio	farsi la barba|lama da barba|lama da barbiere|lametta da barba|radersi|rasoio|rasoio da barbiere
🪓	ascia	accetta|ascia|boscaiolo|taglialegna
🪔	diya	deepak|deepam|divaa|diya|lampada a olio|lampada a olio tradizionale
🪕	banjo	banjo|musica|strumento a corde
🪖	elmetto militare	caschetto|elmetto|esercito|guerra|militare|oggetto|soldato
🪗	fisarmonica	concertina|fisarmonica|musica|organetto|strumento musicale
🪘	tamburo lungo	bongo|conga|musica|percussioni|ritmo|strumento musicale|tamburo|tamburo lungo
🪙	moneta	argento|denaro|dollaro|euro|metallo|moneta|oro|ricco|soldi|tesoro
🪚	sega da falegname	falegname|legname|legno|oggetto|sega|sega da falegname|segare|tagliare|utensile
🪛	cacciavite	avvitare|cacciavite|oggetto|svitare|utensile|vite
🪜	scala	arrampicarsi|oggetto|piolo|scala|scala a pioli|scalino
🪝	gancio	amo|curva|fermaglio|gancio|impigliarsi|intrappolare|oggetto|punto vendita|uncino
🪞	specchio	oggetto|riflesso|specchio|trucco
🪟	finestra	apertura|aria fresca|finestra|oggetto|telaio|trasparente|vista
🪠	sturalavandini	aspirazione|bagno|idraulico|ingorgo|intasamento|oggetto|scarico|sturalavandini|ventosa
🪡	ago da cucito	ago|ago da cucito|attività|cucito|punti|ricamo|sarta|sarto|sartoria|suture
🪢	nodo	annodato|corda|fune|legare|nodo|spago
🪣	secchio	contenitore|oggetto|secchia|secchio
🪤	trappola per topi	esca|formaggio|oggetto|topo|trappola|trappola per topi
🪥	spazzolino da denti	bagno|dentale|denti|igiene|lavarsi i denti|oggetto|pulito|pulizia|spazzolino|spazzolino da denti
🪦	lapide	cimitero|lapide|morto|pietra tombale|RIP|sepoltura|tomba
🪧	cartello	cartello|corteo|manifestazione|manifesto|oggetto|picchetto|protesta|striscione
🪨	roccia	duro|macigno|masso|pesante|pietra|roccia|sasso|solido
🪩	palla da discoteca	ballare|brillare|dance|disco|discoteca|festa|glitter|palla a specchio|palla da discoteca|party|specchi
🪪	carta d’identità	badge|carta d’identità|credenziali|documento d’identità|identificazione|patente|sicurezza|tessera
🪫	batteria scarica	batteria scarica|elettronica|energia bassa|esausta|esausto|pila scarica|ricarica
🪬	mano di Fatima	amuleto|fortuna|hamsa|khamsa|Mano con l’occhio divino|Mano di ALO|mano di Fatima|Maria|Miriam|protezione
🪭	ventaglio	afa|aria|caldo|rinfrescare|sventagliare|sventolare|timidezza|ventaglio
🪮	pettine afro	afro|capelli|pettinatura|pettine
🪯	khanda	khanda|religione|Sikh|sikhismo
🪰	mosca	animale|decomposizione|infestante|insetto|insetto volante|larva|malattia|mosca|moscone|volare
🪱	verme	anellide|animale|lombrico|parassita|strisciare|verme
🪲	coleottero	animale|cimice|coleottero|insetto|scarabeo
🪳	scarafaggio	animale|blatta|disgustoso|infestante|insetto|scarafaggio
🪴	pianta in vaso	casa|coltivare|curare|decorare|inutile|noioso|pianta|pianta in vaso|vaso|verde
🪵	legna	ceppo|ciocco|legna|legname|legno|tronco
🪶	piuma	leggero|penna|piuma|piumaggio|uccello|volo
🪷	loto	bellezza|buddhismo|fior di loto|fiore|India|induismo|loto|purezza|serenità|Vietnam|yoga
🪸	corallo	barriera|barriera corallina|cambiamento climatico|corallo|mare|oceano
🪹	nido vuoto	nidificazione|nido|nido vuoto
🪺	nido con uova	nidificazione|nido|nido con uova|nido di uccelli|uccelli|uova
🪻	giacinto	bocca di leone|fiore|giacinto|lavanda|lupino|primavera
🪼	medusa	animale|bruciatura|dolore|invertebrato|mare|medusa|puntura|trasparente|urticante
🪽	ala	ala|angelo|aviazione|mitologia|uccello|volare
🪾	albero spoglio	inverno|senza foglie|siccità
🪿	oca	animale|oca|papera|pollame|starnazzare|stupidità|uccello
🫀	organo del cuore	anatomia|battito|cardiologia|cuore|cuore vero|organo|organo del cuore|pulsazione|rosso
🫁	polmoni	espirazione|inspirazione|organo|polmoni|respirazione|respiro
🫂	persone che si abbracciano	abbraccio|addio|amicizia|amore|ciao|confortare|consolare|grazie|persone|persone che si abbracciano
🫃	uomo incinto	gonfio|gravido|incinto|pancia|pieno|troppo cibo|uomo
🫄	persona incinta	gonfio|gravido|incinta|incinto|pancia|persona incinta|pieno|troppo cibo
🫅	persona con corona	monarca|nobile|persona con corona|re|reale|regale|regina
🫆	impronta digitale	identità|impronta digitale|indizio|riconoscimento biometrico|scienza forense|sicurezza|traccia
🫎	alce	alce|animale|corna|mammifero
🫏	asino	animale|asino|mammifero|mulo|somaro|testardo
🫐	mirtilli	bacca|blu|cibo|frutta|frutti di bosco|mirtilli|mirtillo
🫑	peperone	cibo|ortaggio|peperone|peperone verde|verdure
🫒	oliva	cibo|olio|oliva|ramo di ulivo|ulivo
🫓	focaccia	arepa|cibo|focaccia|lavash|naan|pane|piadina|pita|tigella
🫔	tamale	cibo|involtino|messicano|pamonha|tamale
🫕	fonduta	cibo|cioccolato|fonduta|formaggio|fuso|pentola|sci
🫖	teiera	bere|cibo|tè|teiera|thè
🫗	liquido versato	bevanda|bicchiere|bicchiere rovesciato|drink|liquido versato|rovesciare|svuotare|versare
🫘	fagioli	cibo|fagioli|legume
🫙	barattolo	barattolo|condimento|conservare|contenitore|dispensa|salsa|sugo|vuoto
🫚	radice di zenzero	birra|radice|radice di zenzero|salute|spezia|zenzero
🫛	baccello di piselli	baccello|baccello di piselli|cibo|edamame|legume|pisello|vegetale|verdura
🫜	ortaggio da radice	barbabietola|orto|radice|rapa|vegetale
🫟	spruzzo	chiazza|holi|pittura|rovesciare|schizzo|vernice
🫠	faccina che si scioglie	afa|caldo|dissolversi|faccina che si scioglie|liquefarsi|liquido|sciogliendo|sciogliersi|sciolto|sparire|squagliando|squagliarsi
🫡	faccina che fa il saluto	agli ordini|d’accordo|faccina che fa il saluto militare|militare|obbedisco|ok|saluto|signorsì|sissignora|sissignore|truppe|va bene
🫢	faccina con occhi aperti e mano sulla bocca	imbarazzo|incredibile|incredulità|meraviglia|non ci credo|non ci posso credere|ops|sconvolto|shock|sorpresa|spavento|stupore
🫣	faccina che sbircia tra le dita	curiosità|faccina che sbircia tra le dita|fissare|imbarazzo|incuriosito|nascondo|sbirciare|sbircio|spiare|timida|timido
🫤	faccina perplessa	confuso|così così|deluso|dubbioso|faccina perplessa|mah|meh|perplesso|scettico
🫥	faccina tratteggiata	depresso|faccina tratteggiata|introverso|invisibile|nascondersi|scomparire|sparire
🫦	bocca che morde il labbro	ansia|bocca che morde il labbro|bocca con rossetto|disagio|flirtare|labbra con denti|nervoso|paura|preoccupato|sedurre|seduzione|sexy
🫧	bolle	bolle|bollicine|perle|pulito|rutto|sapone|schiuma|sott’acqua|subacqueo
🫨	faccina tremante	faccina|faccina che trema|faccina scossa|scombussolato|scosso|scossone|shock|terremoto|tremante|tremare|vibrazione
🫩	faccina con borse sotto gli occhi	assonnato|borse|esausto|occhiaie|sfinito|sonno|stanchezza|stanco
🫰	mano con indice e pollice incrociati	amore|caro|costa|costoso|cuore|denaro|mano|mano con indice e pollice incrociati|schioccare|soldi
🫱	mano rivolta a destra	dare la mano|destra|mano|mano rivolta a destra|verso destra
🫲	mano rivolta a sinistra	dare la mano|mano|mano destra rivolta a sinistra|mano rivolta a sinistra|sinistra|verso sinistra
🫳	mano con il palmo verso il basso	afferrare|allontanare|cacciare|congedare|imporre|lasciar cadere|mano|mano con il palmo verso il basso|porgere la mano|scacciare|sciò
🫴	mano con il palmo verso l’alto	elemosina|mano|mano con il palmo verso l’alto|offrire|prendere|raccogliere|richiamare|sollevare|vieni qui
🫵	indice verso l’osservatore	dito puntato|indicare|indice puntato|indice verso l’osservatore|mano|puntare|tu
🫶	mani a cuore	amore|cuore|mani a cuore|mano|ti amo|ti voglio bene
🫷	mano che spinge a sinistra	alt|aspettare|batti cinque|fermare|indietro|mano che spinge verso sinistra|palmo|rifiutare|sinistra|spingere|spinta|stop
🫸	mano che spinge a destra	alt|aspettare|batti cinque|destra|fermare|indietro|mano che spinge verso destra|palmo|rifiutare|spingere|spinta|stop
